property_type,prices,prop_description,locations,beds_num,baths_num,area
Chalet,"1,590,000 EGP",Chalet Pool View 2 Bedrooms with Discount on Cash,"Golf Porto Marina, Al Alamein, North Coast",2,2, 60 sqm
Apartment,"3,700,000 EGP",Own an Apartment for Sale Mushtal Street Tora,"Cornish Al Nile St., Hay Torah, Cairo",3,3, 180 sqm
Apartment,"11,500,000 EGP",Apartment for Sale – Immediate Delivery,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2, 202 sqm
Apartment,"9,700,000 EGP",شقه مميزه جدا للبيع كاش فى مدينتى B11 مساحة 200م,"Privado, Madinaty, Cairo",3,3, 200 sqm
Chalet,"10,600,000 EGP",Chalet 2Bedrooms Lowest Price Fully Finished DP 5%,"Silver Sands, Qesm Marsa Matrouh, North Coast",2,2, 120 sqm
Apartment,"8,750,000 EGP",Apartment for Sale Residential &amp; Office Nile View,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",4,3, 193 sqm
Apartment,"5,000,000 EGP",Apartment for sale in Madinaty – B6              .,"Privado, Madinaty, Cairo",2,2, 90 sqm
Apartment,"10,000,000 EGP",Prime Apartment for Sale Al Jawhara Towers,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",3,2, 180 sqm
Chalet,"13,800,000 EGP",Own your Chalet in Silver sands with Launch Price,"Silver Sands, Qesm Marsa Matrouh, North Coast",2,2, 120 sqm
Apartment,"4,350,000 EGP",شقه مميزه جدا للبيع كاش فى مدينتى B10 مساحة 78م,"Privado, Madinaty, Cairo",2,1, 78 sqm
Duplex,"9,200,000 EGP",Hot Deal | Sky Garden 240 m in Mountain View 1.1,"Mountain View 1.1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 240 sqm
Apartment,"10,000,000 EGP",Ground Floor in showifat  with ACs for sale,"5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 250 sqm
Apartment,"8,000,000 EGP",Super Lux Apartment for Sale Abu Simbel Tower,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",3,2, 197 sqm
Apartment,"4,350,000 EGP",شقه تحفه للبيع كاش فى مدينتى B7 مساحة 82م خالصه,"Privado, Madinaty, Cairo",2,1, 82 sqm
Apartment,"5,300,000 EGP",Luxury Fully Finished Studio 54m with Pool View,"Veranda, Sahl Hasheesh, Hurghada, Red Sea", studio,1, 54 sqm
